"X","Id","Titre","Auteurs","Description","Date"
230,54985,"Efficient Run-Time Monitoring of Timing Constraints","Aloysius K. Mok; Guangtian Liu;","A real-time system operates under timing constraints which it may be unable to meet under some circumstances. The criticality of a timing constraint determines how a system is to react when a timing failure happens. For critical timing constraints, a timing failure should be detected as soon as possible. However, early detection of timing failures requires more resource usage which may be deemed excessive. While work in real-time system monitoring has progressed in recent years, the issue of tradeoff between detection latency and resource overhead has not been adequately considered. This paper presents an approach for monitoring timing constraints in real-time systems which is based on a simple and expressive specification method for defining the timing constraints to be monitored. Efficient algorithms are developed to catch violations of timing constraints at the earliest possible time. These algorithms have been implemented in a tool called JRTM (Java Run-time Timing-constraint Monit...","1997-05-03"
231,55671,"Fast Algorithms for Mining Association Rules","Rakesh Agrawal; Ramakrishnan Srikant;","We consider the problem of discovering association rules between items in a large database of sales transactions. We present two new algorithms for solving this problem that are fundamentally different from the known algorithms. Experiments with synthetic as well as real-life data show that these algorithms outperform the known algorithms by factors ranging from three for small problems to more than an order of magnitude for large problems. We also show how the best features of the two proposed algorithms can be combined into a hybrid algorithm, called AprioriHybrid. Scale-up experiments show that AprioriHybrid scales linearly with the number of transactions. AprioriHybrid also has excellent scale-up properties with respect to the transaction size and the number of items in the database. 1 Introduction Database mining is motivated by the decision support problem faced by most large retail organizations [S 93]. Progress in bar-code technology has made it possible for retail organiz...","1996-02-21"
232,55781,"Verification of Real-Time Systems Using PVS","N. Shankar;","We present an approach to the verification of the real-time behavior of concurrent programs and describe its mechanization using the PVS proof checker. Our approach to real-time behavior extends previous verification techniques for concurrent programs by proposing a simple model for real-time computation and introducing a new operator for reasoning about absolute time. This model is formalized and mechanized within the higher-order logic of PVS. The interactive proof checker of PVS is used to develop the proofs of two illustrative examples: Fischer's real-time mutual exclusion protocol and a railroad crossing controller. This work was supported by National Aeronautics and Space Administration Langley Research Center and the US Naval Research Laboratory under contract NAS1-18969 and by the US Naval Research Laboratory contract N00015-92-C-2177. Connie Heitmeyer (NRL) suggested the railroad crossing example. Sam Owre (SRI) assisted with the use of PVS. The helpful comments of John Rush...","1994-11-05"
233,56673,"Symmetry and Model Checking","A. Prasad Sistla; E. Allen Emerson; Hermann Weyl;","We show how to exploit symmetry in model checking for concurrent systems containing many identical or isomorphic components. We focus in particular on those composed of many isomorphic processes. In many cases we are able to obtain significant, even exponential, savings in the complexity of model checking. 1 Introduction In this paper, we show how to exploit symmetry in model checking. We focus on systems composed of many identical (isomorphic) processes. The global state transition graph M of such a system exhibits a great deal of symmetry, characterized by the group of graph automorphisms of M. The basic idea underlying our method is to reduce model checking over the original structure M, to model checking over a smaller quotient structure M, where symmetric states are identified. In the following paragraphs, we give a more detailed but still informal account of a ""group-theoretic"" approach to exploiting symmetry. More precisely, the symmetry of M is reflected in the group, Aut M...","1997-02-20"
234,56745,"Verifying Continuous Time Markov Chains","Adnan Aziz; Kumud Sanwal; Robert Brayton; Vigyan Singhal;",". We present a logical formalism for expressing properties of continuous time Markov chains. The semantics for such properties arise as a natural extension of previous work on discrete time Markov chains to continuous time. The major result is that the verification problem is decidable; this is shown using results in algebraic and transcendental number theory. Introduction Recent work on formal verification has addressed systems with stochastic dynamics. Certain models for discrete time Markov chains have been investigated in [6, 3]. However, a large class of stochastic systems operate in continuous time. In a generalized decision and control framework, continuous time Markov chains form a useful extension [9]. In this paper we propose a logic for specifying properties of such systems, and describe a decision procedure for the model checking problem. Our result differs from past work in this area [2] in that quantitative bounds on the probability of events can be expressed in the logi...","1998-09-11"
235,56874,"Modeling and Verification of a Real Life Protocol Using Symbolic Model Checking","A. P. Sistla; Vivek G. Naik;","this paper, we show how symbolic model checking has been used to verify a real life protocol. Specifically, we have used SMV tool to model and verify IEEE 802.3 Etherenet CSMA/CD protocol with minimal abstraction. The Ethernet CSMA/CD protocol is a protocol that allows a set of computer systems connected over a local area network to communicate with each other. The major steps involved in using the SMV system for verification of the protocol were to correctly identify the processes within the protocol, to model them in the SMV toolkit, and to specify and verify the required properties of the protocol. Some design issues while modeling such a protocol are also dealt with in the research. We have verified the protocol under the asynchronous and synchronous models. The major problems encountered in using the SMV system were in modeling of the following aspects associated with the protocol: the channel, collision detection and carrier sensing, delay modeling (delay is used in successive attempts after a collision using the exponential backoff approach) and synchronization of transmitters and receivers. We first modeled the protocol at much detail and checked the properties. Under these two models, we used progressive abstraction to reduce the number of variables in each transmitter and receiver, and thus reduce the time taken for model checking. We have verified many properties for different stations, for various values for different values of maximum number attempts and frame sizes. This paper describes the appraoches employed in the verification purpose. The paper is organized as follows. Section 2 briefly describes the SMV system and","1997-02-20"
236,57841,"Constructing Nominal X-of-N Attributes","Zijian Zheng;","Most constructive induction researchers focus only on new boolean attributes. This paper reports a new constructive induction algorithm, called XofN, that constructs new nominal attributes in the form of X-of-N representations. An X-of-N is a set containing one or more attribute-value pairs. For a given instance, its value corresponds to the number of its attribute-value pairs that are true. The promising preliminary experimental results, on both artificial and real-world domains, show that constructing new nominal attributes in the form of X-of-N representations can significantly improve the performance of selective induction in terms of both higher prediction accuracy and lower theory complexity. 1 Introduction A well-known elementary limitation of selective induction algorithms is that when task-supplied attributes are not adequate for describing hypotheses, their performance in terms of prediction accuracy and/or theory complexity is poor. To overcome this limitation, constructiv...","1996-03-21"
237,58002,"A General Approach to Partial Order Reductions in Symbolic Verification (Extended Abstract)","null",") Parosh Aziz Abdulla Bengt Jonsson y Mats Kindahl z Doron Peled x Abstract The purpose of partial-order verification techniques is to avoid exploring several interleavings of independent transitions. The purpose of symbolic verification techniques is to perform basic manipulations on sets of states rather than on individual states. We present a general method for applying partial order reductions to improve symbolic verification. The method is equally applicable to the verification of finite-state and infinite-state systems. It considers methods that check safety properties, either by forward reachability analysis or by backward reachability analysis. We base the method on the concept of commutativity (in one direction) between predicate transformers. Since the commutativity relation is not necessarily symmetric, this generalizes those existing approaches to partial order verification which are based on a symmetric dependency relation. We show how our method can be applied to ...","1998-04-20"
238,58022,"Property Preserving Abstractions for the Verification of Concurrent Systems","C. Loiseaux; S. Graf;","ions for the Verification of Concurrent Systems * C. LOISEAUX loiseaux@imag.fr S. GRAF graf@imag.fr J. SIFAKIS sifakis@imag.fr A. BOUAJJANI bouajjan@imag.fr S. BENSALEM bensalem@imag.fr VERIMAG* , Rue Lavoisier, 38330 Monbonnot Received October 1, 1992; Revised February 1, 1994 Editor: David Probst Abstract. We study property preserving transformations for reactive systems. The main idea is the use of simulations parameterizedby Galois connections (ff; fl), relating the lattices of properties of two systems. We propose and study a notion of preservation of properties expressed by formulas of a logic, by a function ff mapping sets of states of a system S into sets of states of a system S'. We give results on the preservation of properties expressed in sublanguages of the branching time ¯-calculus when two systems S and S' are related via hff; fli-simulations. They can be used to verify a property for a system by verifying the same property on a simpler system which is an abstraction ...","1998-09-24"
239,58346,"Calculating Criticalities","A. Bundy; F. Giunchiglia; R. Sebastiani; T. Walsh;","We present a novel method for building Abstrips style abstraction hierarchies in planning. The aim of this method is to minimize search by limiting backtracking both between abstraction levels and within an abstraction level. Previous approaches for building Abstrips style abstractions have determined the criticality of operator preconditions by reasoning about plans directly. Here, we adopt a simpler and faster approach where we use numerical simulation of the planning process. We develop a simple but powerful theory to demonstrate the theoretical advantages of our approach. We use this theory to identify some simple properties lacking in previous approaches but possessed by our method. We demonstrate the empirical advantages of our approach by a set of four benchmark experiments using the AbTweak system. We compare the quality of the abstraction hierarchies generated with those built by the Alpine and Highpoint algorithms. Authors are listed in alphabetical order. The first author ...","1998-09-05"
240,58436,"Implementing Functional Languages with Fast Equality, Sets and Maps: an Exercise in Hash Consing","Jean Goubault;","We investigate hash consing, a memory allocation strategy for functional languages. Though the idea is not new, its systematic use as a foundation for the run-time system of a language is new. We call this systematic approach maximal sharing. This strategy is shown to be implementable in practice with small speed and space penalties, while offering great opportunities to save space and execution time in big projects. Besides, it paves the way towards more efficient implementations of very desirable data structures like sets and maps (set-theoretic functions of finite domain) [23], opening the door to a whole slew of set- and map-based functional languages like POPS-Lisp [18] and HimML [20], a variant of Standard ML written by the author. The average-case complexities of operations on sets and maps are investigated, and shown to be quite good indeed. Computation sharing and incremental computation are briefly considered in this framework. Garbage collection techniques are reviewed to d...","1997-04-17"
241,58664,"Handling preferences in Constraint Logic Programming with Relational Optimization","Julian Fowler;",". In many Constraint Logic Programming (CLP) applications one needs to express not only strict requirements but also preferences. Constraint hierarchies are one way of describing preferred criteria in the statement of a problem. In [18] CLP was extended to integrate constraint hierarchies resulting in Hierarchical Constraint Logic Programming (HCLP). We propose an alternative approach for describing preferred criteria in CLP as a problem of relational optimization (RO). In this approach the programmer defines a preference relation which indicates when a solution is better than another solution. We study several schemes based on pruning for optimizing an objective function, and we show how these schemes can be generalized to handle preference relations defined by CLP programs, while preserving a straightforward logical semantics. Further we show on some examples that the greater flexibility of the relational optimization scheme is not at the cost of efficiency. Keywords: preference, con...","1994-06-22"
242,58716,"Generating Data Flow Analysis Algorithms from Modal Specifications","Bernhard Steffen; Lehrstuhl Fur Informatik Ii;","The paper develops a framework that is based on the idea that modal logic provides an appropriate framework for the specification of data flow analysis (DFA) algorithms as soon as programs are represented as models of the logic. This can be exploited to construct a DFA-generator that generates efficient implementations of DFA-algorithms from modal specifications by partially evaluating a specific model checker with respect to the specifying modal formula. Moreover, the use of a modal logic as specification language for DFAalgorithms supports the compositional development of specifications and structured proofs of properties of DFA-algorithms. -- The framework is illustrated by means of a real life example: the problem of determining optimal computation points within flow graphs. Keywords: bit-vector algorithms, data flow analysis, data flow analysis generator, modal logic, model checking, mu-calculus, partial evaluation, transition systems. 1 Introduction Data flow analysis (DFA) is ...","1994-01-04"
243,59117,"Modeling a Dynamic and Uncertain World I: Symbolic and Probabilistic Reasoning about Change","Drew Mcdermott; Steve Hanks; Steve Hanks Drew Mcdermott;","Intelligent agency requires some ability to predict the future. An agent must ask itself what is presently its best course of action given what it now knows about what the world will be like when it intends to act. This paper presents a system that uses a probabilistic model to reason about the effects of an agent's proposed actions on a dynamic and uncertain world, computing the probability that relevant propositions will hold at a specified point in time. The model allows for incomplete information about the world, the occurrence of exogenous (unplanned) events, unreliable sensors, and the possibility of an imperfect causal theory. The system provides an application program with answers to questions of the form ""is the probability that ' will hold in the world at time t greater than ø ?"" It is unique among algorithms for probabilistic temporal reasoning in that it tries to limit its inference according to the proposition, time, and probability threshold provided by the application. T...","1993-07-12"
244,59128,"Quality of Service Routing for Supporting Multimedia Applications","Jon Crowcroft; Zheng Wang;","In recent years, several new architectures have been developed for supporting multimedia applications such as digital video and audio. However, quality of service routing is an important element that is still missing from these architectures. In this paper we consider a number of issues in QoS routing. We first examine the basic problem of QoS routing, namely, finding a path that satisfy multiple constraints, and its implications on routing metric selection, and then present three path computation algorithms for source routing and for hop-by-hop routing. 1. Introduction Multimedia applications such as digital video and audio often have stringent quality of service (QoS) requirements. For a network to deliver performance guarantees it has to make resource reservation and excise network control. In the past several years, there have been much discussion and research in the area of resource setup, admission control and packet scheduling, and many new architectures have been proposed [1-3...","1996-04-10"
245,59994,"Adaptation of Partitioning and High-Level Synthesis in Hardware/Software Co-Synthesis","J Org Henkel; Rolf Ernst; Thomas Benner; Ullrich Holtmann;","Previously, we had presented the system COSYMA for hardware/software co-synthesis of small embedded controllers [ErHeBe93]. Target system of COSYMA is a core processor with application specific co--processors. The system speedup for standard programs compared to a single 33MHz RISC processor solution with fast, single cycle access RAM was typically less than 2 due to restrictions in high-level co--processor synthesis, and incorrectly estimated back end tool performance, such as hardware synthesis, compiler optimization and communication optimization. Meanwhile, a high-level synthesis tool for highperformance co--processors in co-synthesis has been developed. This paper explains the requirements and the main features of the high-level synthesis system and its integration into COSYMA. The results show a speedup of 10 in most cases. Compared to the speedup, the co--processor size is very small. 1 Introduction -- the COSYMA system This paper presents a significant improvement of the hardw...","1997-06-18"
246,60275,"Static Detection Of Deadlocks In Polynomial Time","Graduate School---new Brunswick; P. Masticola;","OF THE DISSERTATION Static Detection of Deadlocks in Polynomial Time by Stephen P. Masticola, Ph.D. Dissertation Director: Dr. Barbara G. Ryder Parallel and distributed programming languages often include explicit synchronization primitives, such as rendezvous and semaphores. Such programs are subject to synchronization anomalies; the program behaves incorrectly because it has a faulty synchronization structure. A deadlock is an anomaly in which some subset of the active tasks of the program mutually wait on each other to advance; thus, the program cannot complete execution. In static anomaly detection, the source code of a program is automatically analyzed to determine if the program can ever exhibit a specific anomaly. Static anomaly detection has the unique advantage that it can certify programs to be free of the tested anomaly; dynamic testing cannot generally do this. Though exact static detection of deadlocks is NP-hard [Tay83a], many researchers have tried to detect deadlock by ...","1993-06-07"
247,60394,"Automatic Synthesis of Transport Triggered Processors","Henk Corporaal; Jan Hoogerbrugge;","A designer can chose from several options when mapping an application into a combination of hardware and software. Usage of an ASIP offers the advantage of a large design freedom, allowing optimal tuning of performance and costs. However there are two major problems related to the design of ASIPs: 1) the design trajectory is long, and 2) it is impossible to do a quantitative search of the whole design space. The alleviate these problems we propose a design trajectory based on a templated, transport triggered architecture. Using a restricted, but still very large, design space we are able to automate the design trajectory based on a quantitative analysis of many design points. This paper presents this design method and shows its results when the method is applied to two benchmarks. Keywords: CoSynthesis, Design space exploration, ASIP design, Transport triggering. 1 Introduction Designing ASICs based on templated application specific instruction set processors (ASIPs) is an attractive...","1995-11-06"
248,60654,"Structured Reachability Analysis for Markov Decision Processes","Christopher Geib; Craig Boutilier; Ronen I. Brafman;","Recent research in decision theoretic planning has focussedon making the solution of Markov decision processes (MDPs) more feasible. We develop a family of algorithms for structured reachability analysis of MDPs that are suitable when an initial state (or set of states) is known. Using compact, structured representations of MDPs (e.g., Bayesian networks), our methods, which vary in the tradeoff between complexity and accuracy, produce structured descriptions of (estimated) reachable states that can be used to eliminate variables or variable values from the problem description, reducing the size of the MDP and making it easier to solve. One contribution of our work is the extension of ideas from GRAPHPLAN to deal with the distributed nature of action representations typically embodied within Bayes nets and the problem of correlated action effects. We also demonstrate that our algorithm can be made more complete by using k-ary constraints instead of binary constraints. Another contributi...","1998-05-07"
249,61863,"Tableau-Based Model Checking in the Propositional Mu-Calculus","Rance Cleaveland;","This paper describes a procedure, based around the construction of tableau proofs, for determining whether finite-state systems enjoy properties formulated in the propositional mu-calculus. It presents a tableau-based proof system for the logic and proves it sound and complete, and it discusses techniques for the efficient construction of proofs that states enjoy properties expressed in the logic. The approach is the basis of an ongoing implementation of a model checker in the Concurrency Workbench, an automated tool for the analysis of concurrent systems. 1 Introduction One area of program verification that has proven amenable to automation involves the analysis of finite-state processes. While computer systems in general are not finite-state, many interesting ones, including a variety of communication protocols and hardware systems, are, and their finitary nature enables the development and implementation of decision procedures that test for various properties. Model checking has p...","1997-11-25"
250,61983,"Software Scheduling in the Co-Synthesis of Reactive Real-Time Systems","Gaetano Borriello; Pai Chou;","Existing software scheduling techniques limit the functions that can be implemented in software to those with a restricted class of timing constraints, in particular those with a coarse-grained, uniform, periodic behavior. In practice, however, many systems change their I/O behavior in response to the inputs from the environment. This paper considers one such class of systems, called reactive real-time systems, where timing requirements can include sequencing, rate, and response time constraints. We present a static, non-preemptive, fine-grained software scheduling algorithm to meet these constraints. This algorithm is suitable for control-dominated embedded systems with hard real-time constraints, and is part of the core of a hardware/software co-synthesis system. I Introduction An embedded system is a special purpose computer consisting of one or more controllers and peripheral devices. A reactive system is an embedded system that changes its I/O behavior in response to inputs from t...","1995-12-21"
251,62107,"A Stochastic Causality-Based Process Algebra","Diego Latella; Joost-pieter Katoen; Rom Langerak;","This paper discusses stochastic extensions of a simple process algebra in a causality based setting. Atomic actions are supposed to happen after a delay that is determined by a stochastic variable with a certain distribution. A simple stochastic type of event structures is discussed, restricting the distribution functions to be exponential. A corresponding operational semantics of this model is given and compared to existing (interleaved) approaches. Secondly, a stochastic variant of event structures is discussed where distributions are of a much more general nature, viz. of phase-type. This includes exponential, Erlang, Coxian and mixtures of exponential distributions. 1. INTRODUCTION","1995-08-31"
252,62259,"The Model Checker SPIN","Gerard J. Holzmann;","SPIN is an efficient verification system for models of distributed software systems. It has been used to detect design errors in applications ranging from high-level descriptions of distributed algorithms to detailed code for controlling telephone exchanges. This paper gives an overview of the design and structure of the verifier, reviews its theoretical foundation, and gives an overview of significant practical applications. Index Terms---Formal methods, program verification, design verification, model checking, distributed systems, concurrency. ------------------------------ F ------------------------------ 1 INTRODUCTION PIN is a generic verification system that supports the design and verification of asynchronous process systems [36], [38]. SPIN verification models are focused on proving the correctness of process interactions, and they attempt to abstract as much as possible from internal sequential computations. Process interactions can be specified in SPIN with rendezvous primi...","1999-04-12"
253,62412,"The Foundations of Esterel","Grard Berry;","Machine or CHAM [9] is a mathematical version of chemistry that now routinely serves as a basis for the semantics of interactive process calculi or languages [43]. Being unable to express timeliness, the chemical model is obviously inappropriate for reactive systems. In the Newtonian model, planets evolve in a deterministic and perfectly synchronous way. The Newtonian model will serve as a guideline for the deønition and semantics of our synchronous languages, where we shall similarly assume I J K Z X Y X = I and not J Y = J and K Z = X or Y Figure 1: A synchronous circuit that processes instantaneously exchange information in a deterministic way. For implementation, we shall use the more complex electrical vibration model, where information propagates with delay, where geometrical constraints may come in the picture, and where some (controllable) internal non-determinism may exist. In physics, there is a well-known tension between the accuracy and the adequacy of a mathematical mode...","1998-10-12"
254,62677,"Presenting Machine-Found Proofs","Armin Fiedler; Xiaorong Huang;",". This paper outlines an implemented system named PROVERB that transforms and abstracts machine-found proofs to natural deduction style proofs at an adequate level of abstraction and then verbalizes them in natural language. The abstracted proofs, originally employed only as an intermediate representation, also prove to be useful for proof planning and proving by analogy. 1 Introduction This paper outlines an implemented system named PROVERB that presents and verbalizes machine-found natural deduction proofs in natural language. Apart from its practical use, we hope PROVERB will also address some cognitive aspects of proof representation and proof presentation. Efforts have been made to transform proofs from machine-oriented formalisms into a more natural formalism [And80, Pfe87, Lin90]. As the target formalism, usually a variation of the natural deduction (ND) proof proposed by Gentzen [Gen35] is chosen. The resulting ND proofs are then used as inputs by natural language generators [...","1996-05-08"
255,62893,"(Inter-)Action Refinement: The Easy Way","Manfred Broy;","We outline and illustrate a formal concept for the specification and refinement of networks of interactive components. We describe systems by modular, functional specification techniques. We distinguish between black box and glass box views of interactive system components as well as refinements of their black box and glass box views. We identify and discuss several classes of refinements such as behaviour refinement, communication history refinement, interface interaction refinement, state space refinement, distribution refinement, and others. In particular, we demonstrate how these concepts of refinement and their verification are supported by functional specification techniques leading to a general formal refinement calculus. It can be used as the basis for a method for the development of distributed interactive systems. 1 This work was supported by the Sonderforschungsbereich 342 ""Werkzeuge und Methoden für die Nutzung paralleler Architekturen"" IAR-the easy way - 2 - 4/25/95 1....","1997-09-29"
256,63210,"Aspect-Oriented Programming","Chr Is; Cr Istina; Gregor Iczales; I Ntroduction; Ideira Lopes; Jeanmarc Loingtier; Lamp Ing;","this paper, we present an overview of our recent research on programming language expressivity. The goal of this work is to make it possible for programs to clearly capture all of the important aspects of a system's behavior, including not only its functionality, but also issues such as its failure handling strategy, its communication strategy, its coordination strategy, its memory reference locality, etc. Our current work is based on the belief that programming languages based on any SINGLE abstraction framework---procedures, constraints, whatever---are ultimately inadequate for many complex systems. The reason is that the different aspects of a system's behavior that must be programmed, each tend to have their own ""natural form"", so while one abstraction framework might do a good job of capturing one aspect, it will do a less good job capturing others. This conclusion has led us to develop a concept we call Aspect-Oriented Programming (AOP). In AOP, the different aspects of a system's behavior are each programmed in their most natural form, and then these separate programs are woven together to produce executable code. Our work on AOP is being carried out in the context of both general-purpose and domain specific languages, we believe that it has contributions to make to both areas. 1 . 1 CROSS - CUTTING The basic limitation of single abstraction framework languages is that one abstraction will not necessarily serve well for all the different issues that must be programmed in a specific system. A classic example is the notion of invariant relations among objects. While many standard object-oriented languages do a good job of clearly capturing the behavior of objects, they do a less good job of capturing structural and behavioral invariants, such as ""when this object ge...","1996-12-18"
257,63336,"Synthesis of the Hardware/Software Interface in Microcontroller-Based Systems","Gaetano Borriello; Pai Chou; Ross Ortega;","Microcontroller-based systems require the design of a hardware/software interface that enables software running on the microcontroller to control external devices. This interface consists of the sequential logic that physically connects the devices to the microcontroller and the software drivers that allow code to access the device functions. This paper presents a method for automatically synthesizing this hardware/software interface using a recursive algorithm. Practical examples are used to demonstrate the utility of the method and results indicate that the synthesized circuit and driver code are comparable to that generated by human designers. This new tool will be used by higher-level synthesis tools to evaluate partitionings of a system between hardware and software components. 1 Introduction Microcontrollers are microprocessors with integrated general-purpose interfacing logic to facilitate the control of peripheral devices. This logic is encapsulated in I/O ports (i.e., collec...","1997-11-12"
258,63435,"Systematic Nonlinear Planning","David Mcallester; David Rosenblitt;","This paper presents a simple, sound, complete, and systematic algorithm for domain independent STRIPS planning. Simplicity is achieved by starting with a ground procedure and then applying a general, and independently verifiable, lifting transformation. Previous planners have been designed directly as lifted procedures. Our ground procedure is a ground version of Tate's NONLIN procedure. In Tate's procedure one is not required to determine whether a prerequisite of a step in an unfinished plan is guaranteed to hold in all linearizations. This allows Tate's procedure to avoid the use of Chapman's modal truth criterion. Systematicity is the property that the same plan, or partial plan, is never examined more than once. Systematicity is achieved through a simple modification of Tate's procedure. Introduction STRIPS planning was introduced in (Fikes and Nilsson 1971) as a model of the kind of planning problems that people appear to solve in common sense reasoning. STRIPS planning correspo...","1995-02-12"
259,63437,"Automatic Generation of Invariants and Intermediate Assertions","Anca Browne; Zohar Manna;","Verifying temporal specifications of reactive and concurrent systems commonly relies on generating auxiliary assertions and on strengthening given properties of the system. This can be achieved by two dual approaches: The bottom-up method performs an abstract forward propagation (computation) of the system, generating auxiliary assertions; the top-down method performs an abstract backward propagation to strengthen given properties. Exact application of these methods is complete but is usually infeasible for large-scale verification. Approximation techniques are often needed to complete the verification. We give an overview of known methods for generation of auxiliary invariants in the verification of invariance properties. We extend these methods, by formalizing and analyzing a general verification rule that uses assertion graphs to generate auxiliary assertions for the verification of general safety properties. 1 Introduction The deductive verification of temporal specifications of re...","1996-06-03"
260,63807,"A Lightweight Architecture for Program Execution Monitoring","Clinton Jeffery; Kevin Templer; Michael Brazell; Wenyi Zhou;","The Alamo monitor architecture reduces the difficulty of developing dynamic analysis tools, such as specialpurpose profilers, bug-detectors, and program visualizers. 1 Introduction Dynamic analysis tools are used in several phases of software development, including coding, testing, and maintenance [1]. Although conventional debuggers and profilers are well-suited for finding certain kinds of bugs and performance bottlenecks, they may be ineffective when problems arise for which they were not intended. Improvements in execution monitors have been slow to appear, primarily due to the high cost of developing such tools. This motivates the focus of our research: reducing the cost of writing monitors. A monitor framework for the Icon programming language presented one approach that reduces development costs for a broad class of execution monitors [2]. That framework provided monitor writers with solutions for several problems inherent in the execution monitoring realm, such as access to a...","1999-04-05"
261,63977,"Improved CLP Scheduling with Task Intervals","null","In this paper we present a new technique that can be used to improve performance of job scheduling with a constraint programming language. We show how, by focusing on some special sets of tasks, one can bring CLP in the same range of efficiency as traditional OR algorithms on a classical benchmark (MT10 [MT63]), thus making CLP both a flexible and an efficient technique for such combinatorial problems. We then present our programming methodology which we have successfully used on many problems, and draw conclusions on what features constraint programming languages should offer to allow its use. 1. Introduction Real-life scheduling problems are often the composition of various well-identified hard problems. In the previous years, we have worked on applications such as task-technician assignments [CK92] or staff timetable scheduling [CGL93] and developed a methodology for solving such problems with an extensible constraint logic programming language. In both cases we have applied the s...","1994-11-15"
262,64263,"Encoding Plans in Propositional Logic","Bart Selman; David Mcallester; Henry Kautz;","In recent work we showed that planning problems can be efficiently solved by general propositional satisfiability algorithms (Kautz and Selman 1996). A key issue in this approach is the development of practical reductions of planning to SAT. We introduce a series of different SAT encodings for STRIPS-style planning, which are sound and complete representations of the original STRIPS specification, and relate our encodings to the Graphplan system of Blum and Furst (1995). We analyze the size complexity of the various encodings, both in terms of number of variables and total length of the resulting formulas. This paper complements the empirical evaluation of several of the encodings reported in Kautz and Selman (1996). We also introduce a novel encoding based on the theory of causal planning, that exploits the notionof ""lifting"" from the theorem-proving community. This new encoding strictly dominates the others in terms of asymptotic complexity. Finally, we consider further reductions i...","1998-03-17"
263,64329,"Efficient Local Search with Conflict Minimization: A Case Study of the N-Queens Problem","Jun Gu; Rok Sosic; Senior Member; Student Member;","Backtracking search is frequently applied to solve a constraint-based search problem but it often suffers from exponential growth of computing time. We present an alternative to backtracking search: local search based on conflict minimization. We have applied this general search framework to study a benchmark constraint-based search problem, the n-queens problem. An efficient local search algorithm for the n-queens problem was implemented. This algorithm, running in linear time, does not backtrack at all. It is capable of finding a solution for extremely large size n-queens problems. For example, on a workstation computer, it can find a solution for 3,000,000 queens in less than 55 seconds. Keywords: conflict minimization, local search, n-queens problem, nonbacktracking search. 1 This research has been supported in part by the University of Utah research fellowships, in part by the Research Council of Slovenia, and in part by ACM/IEEE academic scholarship awards. 1 Introduction A ...","1996-10-02"
264,64392,"The NCSU Concurrency Workbench","Rance Cleaveland; Steve Sims;",". The NCSU Concurrency Workbench is a tool for verifying finite-state systems. A key feature is its flexibility; its modular design eases the task of adding new analyses and changing the language users employ for describing systems. This note gives an overview of the system 's features, including its capacity for generating diagnostic information for incorrect systems, and discusses some of its applications. 1 Introduction The NCSU Concurrency Workbench (NCSU-CWB) [1] supports the automatic verification of finite-state concurrent systems. The main goal of the system is to provide users with a tool that is flexible and easy to use and yet whose performance is competitive with that of existing special-purpose tools. In support of the former, and like its predecessor, the (Edinburgh) Concurrency Workbench [9, 15], the NCSU-CWB includes implementations of decision procedures for calculating a number of different behavioral equivalences and preorders between systems and for determining whe...","1996-05-15"
265,64835,"The Benefits of Relaxing Punctuality","Rajeev Alur; Thomas A. Henzinger;",". The most natural, compositional, way of modeling real-time systems uses a dense domain for time. The satisfiability of timing constraints that are capable of expressing punctuality in this model, however, is known to be undecidable. We introduce a temporal language that can constrain the time difference between events only with finite, yet arbitrary, precision and show the resulting logic to be EXPSPACE-complete. This result allows us to develop an algorithm for the verification of timing properties of real-time systems with a dense semantics. Keywords: temporal logic, verification, real time. 1 A preliminary version of this paper appeared in the Proceedings of the Tenth Annual ACM Symposium on Principles of Distributed Computing (PODC 1991), pp. 139--152, and an extended version appeared in the Journal of the ACM 43, 1996, pp. 116--146. 2 Supported in part by the Office of Naval Research Young Investigator award N00014-95-1-0520, by the National Science Foundation CAREER award C...","1997-06-17"
266,65301,"Using Causal Knowledge to Learn More Useful Decision Rules From Data","Louis Anthony Cox;","This paper presents results of an applied research effort focused on how to modify conventional recursive partitioning programs (e.g., CART, Knowledge Seeker, ID3) so that they will learn useful decision rules (prescriptions for action) from data. The desired output is no longer a probabilistic prediction of the value of a dependent variable, based on the observed values of independent variables. Instead, it is a prescription for what potentially costly actions to take (i.e., what values to assign to different controllable input variables), based on (perhaps costly) measurements of multiple independent variables, so as to bring several dependent variables simultaneously into a desired ""efficient"" (undominated) target set of joint values. The resulting methodology has been applied to several real problems in the telecommunications industry, including selecting actions to improve customer service (Cox and Bell, 1995) and identifying a strategy for improving employee performance and morale, discussed in the last part of this paper.","1996-01-06"
267,65602,"On Combining Formal and Informal Verification","Adnan Aziz; Jacob Abraham; Jian Shen; Jun Yuan;",". We propose algorithms which combine simulation with symbolic methods for the verification of invariants. The motivation is two-fold. First, there are designs which are too complex to be formally verified using symbolic methods; however by the use of symbolic techniques in conjunction with traditional simulation results in better ""coverage"" relative to the computational resources used. Additionally, even on designs which can be symbolically verified, the use of a hybrid methodology often detects the presence of bugs faster than either formal verification or simulation. 1 Introduction In this paper we will be concerned with the problem of design verification; specifically, the problem of invariant checking over gate-level designs. Traditionally, designs have been verified by extensive simulation. While offering the benefits of simplicity and scalability, simulation offers no guarantees of correctness; for large designs, the fraction of the design space which can be covered in this met...","1998-08-27"
